IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,38461,10.215.173.2,53,10174,Photos,com.google.android.apps.photos,DNS,Cerrado,www.gstatic.com,61,89,1,1,2026-09-03T03:53:33.563-06:00,2026-09-03T03:53:33.625-06:00
17,10.215.173.1,55325,10.215.173.2,53,10174,Photos,com.google.android.apps.photos,DNS,Cerrado,www.gstatic.com,61,77,1,1,2026-09-03T03:53:33.567-06:00,2026-09-03T03:53:33.623-06:00
6,10.215.173.1,33296,142.251.210.163,443,10174,Photos,com.google.android.apps.photos,TLS,Cerrado,www.gstatic.com,140,128,3,3,2026-09-03T03:53:33.632-06:00,2026-09-03T03:53:33.705-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56174,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:33.687-06:00,2026-09-03T03:53:33.691-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56174,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:33.709-06:00,2026-09-03T03:53:33.712-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56180,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:33.714-06:00,2026-09-03T03:53:33.715-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56180,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:33.729-06:00,2026-09-03T03:53:33.731-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56182,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.031-06:00,2026-09-03T03:53:34.033-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56182,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.045-06:00,2026-09-03T03:53:34.048-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56184,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.109-06:00,2026-09-03T03:53:34.111-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56192,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.116-06:00,2026-09-03T03:53:34.124-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56194,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.126-06:00,2026-09-03T03:53:34.131-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56184,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.133-06:00,2026-09-03T03:53:34.135-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56218,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.136-06:00,2026-09-03T03:53:34.139-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56230,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.141-06:00,2026-09-03T03:53:34.144-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56246,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.147-06:00,2026-09-03T03:53:34.149-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56192,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.151-06:00,2026-09-03T03:53:34.154-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56194,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.157-06:00,2026-09-03T03:53:34.159-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56218,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.161-06:00,2026-09-03T03:53:34.164-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56230,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.166-06:00,2026-09-03T03:53:34.168-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56246,2607:f8b0:4012:821::2003,443,10174,Photos,com.google.android.apps.photos,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T03:53:34.169-06:00,2026-09-03T03:53:34.171-06:00
